"","Value","Description"
"1",21.19,0
"2",0.034,0
"3",0.035,0
"4",0.25,0
"5",6.64,0
"6",3.72,0
"7",0.64,0
"8",10,0
"9",13.25,0
"10",0.68,0
"11",2.32,0
"12",0,0
"13",0,0
"14",0,0
"15",0,0
"16",0.112359551,0
"17",0.94,0
"18",0.9,0
"19",0.98,0
"20",0,0
"21",0,0
"22",0,0
"23",0,0
"24",0,0
"25",0,0
"26",0,0
"27",0,0
"28",0,0
"29",0,0
"30",0,0
"31",0,0
"32",0,0
"33",0,0
"34",0,0
"35",0,0
"36",0,0
"37",0,0
"38",0,0
"39",0,0
"40",0,0
"41",0,0
"42",0.33333,0
"43",0.02739726,0
"44",0.35,0
"45",200,0
"46",0.05,0
"47",0,0
"48",0,0
"49",NA,0
"50",0,0
"51",0,0
"52",NA,0
"53",0,0
"54",0,0
"55",NA,0
"56",0,0
"57",0,0
"58",NA,0
"59",0,0
"60",0,0
"61",NA,0
"62",0,0
"63",0,0
"64",NA,0
"65",0,0
"66",0,0
"67",NA,0
"68",0,0
"69",0,0
"70",NA,0
"71",0,0
"72",0,0
"73",NA,0
"74",0,0
"75",0,0
"76",NA,0
"77",0,0
"78",0,0
"79",NA,0
"80",0.0054832785,0
"81",1156.0298759433,0
